hotel_name,price_bdt,num_reviews,comment,price_eur,source
Amari Phuket,24445.0,9771,Its such an amazing place;,203.71,TripAdvisor
Explorar Koh Samui - Adults Only Resort and Spa,12305.0,1112,"facilities is perfect. Staff they are very friendly and gently with us. Aieng i love the way he show his coconut and he is good upselling too.Kamlai, Marfia, Nine, Noi...",102.54,TripAdvisor
Amari Vogue Krabi,18109.0,3042,Private and peaceful beach always clean thank you to everyone!! Cleanliness,150.91,TripAdvisor
Nikki Beach Resort & Spa Koh Samui,20159.0,780,pool the only one in Koh Samui.,167.99,TripAdvisor
Avani+ Koh Lanta Krabi Resort,10716.0,2221,(Mareeya and all team) and very sweet ladies at restaurant (Ning and Noorar).,89.3,TripAdvisor
Kimpton Kitalay Samui,30156.0,223,Kimpton the new resort at Samui,251.3,TripAdvisor
Avani+ Khao Lak Resort,9174.0,343,Avani + Khao lak is private location and the best resort Staff (Khun June) very nice was,76.45,TripAdvisor
Le Meridien Khao Lak Resort & Spa,8413.0,630,"delicious; drinks - yummy; pools - relaxing; housekeeping - spot on; gym - more than adequate, spa - luxurious (but pricey); concierge - friendly... you get the message!",70.11,TripAdvisor
Centara Kata Resort Phuket,5205.0,1476,and perfectly clean.,43.38,TripAdvisor
CELES BEACH FRONT RESORT  KOH SAMUI,8836.0,253,comfortable with a good sized balcony.,73.63,TripAdvisor
"The Standard, Hua Hin",11381.0,184,"This hotel has a ""fresh"" feeling to it: enthusiastic",94.84,TripAdvisor
X10 Khaolak Resort,4547.0,658,facilities where fabulous.,37.89,TripAdvisor
Four Seasons Resort Chiang Mai,189649.0,1573,"... recommend to anybody wanting to escape theyre daily stresses of life Staff could not do enough for you, always went the extra mile, from ice packs for sunburn",1580.41,TripAdvisor
The Vijitt Resort Phuket,45985.0,1733,"genuine hospitality airport transfer was arranged and on time / checkin was professional,",383.21,TripAdvisor
Anantara Chiang Mai Resort,33831.0,3417,My sister and I enjoyed our stay very much,281.92,TripAdvisor
Samujana Villas,86644.0,207,"close to all sights and very safe. Our hosts and chefs (Rada and Kai) are fantastic, they looked after us in every way with food, suggestions for things to do...",722.03,TripAdvisor
"The Ritz-Carlton, Koh Samui",33984.0,772,with one of the most comfortable mattresses Ive ever slept on!); to the scrumptious breakfast buffet spread each morning (highly recommend the bakery items  the...,283.2,TripAdvisor
Kupu Kupu Phangan Beach Villas and Spa by l'Occitane - SHA Plus,31172.0,1627,The view and the food were amazing and the pool Vila was very,259.77,TripAdvisor
The Haven Khao Lak,16612.0,1843,... of every request with a smile on his face to the restaurant staff to the amazing spa ladies (ask for Candy!) to the great housekeeping,138.43,TripAdvisor
Anantara Lawana Koh Samui Resort,19337.0,2964,... take care from the first day we came until the last day we back to Bangkok she tried,161.14,TripAdvisor
"Chanalai Romantica Resort, Kata Beach, Phuket",13571.0,695,Everything you need for a comfortable and high-quality,113.09,TripAdvisor
Anantara Riverside Bangkok Resort,16267.0,9835,"Anantara riverside is amazing, true oriental hotel, brilliant staff, everything at the hotel is just perfect,",135.56,TripAdvisor
Apsara Beachfront Resort and Villa,10354.0,3379,A lovely surprise of a bottle of fizz greeted us too,86.28,TripAdvisor
Santhiya Tree Koh Chang Resort,13601.0,1549,"Everything was perfect,",113.34,TripAdvisor
Varivana Resort Koh Phangan,14029.0,154,"Wonderful place to stay, chill and enjoy",116.91,TripAdvisor
Hilton Garden Inn Phuket Bang Tao,9155.0,193,"My stay at this newly opened hotel was very good, the team was super attentive,",76.29,TripAdvisor
"The Chill Resort & Spa, Koh Chang",18191.0,1058,the patio.,151.59,TripAdvisor
Hansar Samui Resort,17161.0,2976,Pros: a beachfront 4 or 5-star,143.01,TripAdvisor
Veranda Resort & Villas Hua Hin Cha Am,21471.0,1129,wonderful moment here.,178.92,TripAdvisor
Mora Boutique Hotel,6080.0,203,We stayed,50.67,TripAdvisor
Amatara Welleisure Resort,18515.0,1705,chose the big villas with private pool and sea ocean view witch was fantastic and,154.29,TripAdvisor
Avani Pattaya Resort,14820.0,2527,THE HOTEL IS AMAZING WITH CONNECTIVITY TO BEACH AND THE BREAKFAST,123.5,TripAdvisor
Sunprime Kamala Beach,8805.0,1923,service every day and all the communal areas were kept clean and tidy.,73.38,TripAdvisor
Avani Khon Kaen Hotel & Convention Centre,7713.0,622,helpfull staff.,64.28,TripAdvisor
Grand Mercure Khao Lak Bangsak,8300.0,163,"Pros Hotel is gorgeous and the river flowing through the middle is a nice touch We loved our room, a huge swim",69.17,TripAdvisor
Hotel Clover Patong Phuket,13291.0,669,"Excellent Hotel, very nice staff, excellent",110.76,TripAdvisor
The Riverie by Katathani,8690.0,326,Spacious,72.42,TripAdvisor
Bandara Phuket Beach Resort,5280.0,643,location on a quiet beach.,44.0,TripAdvisor
Movenpick Siam Na Jomtien Pattaya,17721.0,1453,T55,147.68,TripAdvisor
Pai Village Boutique Resort & Farm,5659.0,585,"Very nice place,",47.16,TripAdvisor
Mook Lamai Resort and Spa,9269.0,198,with all necessary comforts (including AC in every room).,77.24,TripAdvisor
Hotel Khao Sok & Spa,3958.0,319,"definitely come back  here! the location in the heart of the vegetation, the support for all our activities (custom and private, and the price is the same everywhere in",32.98,TripAdvisor
Robinson Khao Lak,6751.0,908,"My First time to stay here, nice room ""The bed and pillows are very soft"" BIG thank to Amp to take us since booking , feel wram welcome",56.26,TripAdvisor
V Villas Hua Hin - MGallery,78194.0,466,I heard about this hotel before i went there that,651.62,TripAdvisor
Park Hyatt Bangkok - SHA Plus Certified,45258.0,1762,in-room high tea service from the cozy and lively ambience of the rooftop bar to the great breakfast experience my staycation here becomes one of the most memorable...,377.15,TripAdvisor
Royal Wing Suites & Spa,27149.0,602,"Very nice place, spectacular",226.24,TripAdvisor
Rocky's Boutique Resort - Veranda Collection Samui,112305.0,2603,- Great staff - Great location - Great,935.88,TripAdvisor
Hyatt Regency Koh Samui,35393.0,458,Staff were incredible and caring Beach,294.94,TripAdvisor
Bangkok Marriott Hotel Sukhumvit,17841.0,4456,Room: Medium size room / Sleep well / Good,148.68,TripAdvisor
Shangri-La Chiang Mai,15065.0,2822,Check-in,125.54,TripAdvisor
Chatrium Residence Sathon Bangkok,7931.0,2576,Room: we stayed,66.09,TripAdvisor
Rosewood Bangkok,43025.0,258,The Good:,358.54,TripAdvisor
Ratilanna Riverside Spa Resort Chiang Mai,18747.0,921,"of the river from the balcony and a more comprehensive view of the restaurant roof but it was definitely deluxe with many amenities, a large, comfortable bed, lots...",156.22,TripAdvisor
"Le Meridien Suvarnabhumi, Bangkok Golf Resort & Spa",17538.0,785,We splurged on a 1 bedroom suite (100sqm),146.15,TripAdvisor
"Le Meridien Chiang Rai Resort, Thailand",10511.0,2904,"I was really impressed the arrival service, front desk team provided great welcome experience and very professional check in process, hotel room is very good (I was upgraded",87.59,TripAdvisor
akyra Manor Chiang Mai,13187.0,1206,... outdoor bath tub (its honestly the biggest bath tub Ive ever been in and it,109.89,TripAdvisor
137 Pillars Suites & Residences Bangkok,19288.0,512,"fridge, separate dressing area, fab bathroom with a massive standalone tub (and a telly beside it), lovely balcony with well thought-out furniture and fittings.",160.73,TripAdvisor
Samui Paradise Chaweng Beach Resort & Spa,10121.0,1251,Mano was very helpful and kind and provided,84.34,TripAdvisor
Centra by Centara Maris Resort Jomtien,17414.0,1246,"staff is good manner , helpful and very friendly /we stay in the /family residence room ,which",145.12,TripAdvisor
Avani+ Hua Hin Resort,31407.0,940,I would like to thank you Khun Mond Pornpon for guide us every place in hotel and Khun NAPATHARA CHOOTAWEE (Reservation Officer),261.73,TripAdvisor
Moracea By Khao Lak Resort,7433.0,2422,Pros: - Good holiday vibes - Good and clean room - Good beach - Good subset view - Good pools - Good service from friendly,61.94,TripAdvisor
Koh Yao Yai Village,7819.0,1258,"(robes, slippers, flip flops, safe, beach bag, beach towels, snacks and teas).",65.16,TripAdvisor
"Khum Phaya Resort & Spa, Centara Boutique Collection",5809.0,1532,,48.41,TripAdvisor
"Chanalai Flora Resort, Kata Beach, Phuket",5990.0,1310,Is nice hotel and good stuff,49.92,TripAdvisor
Nakamanda Resort & Spa,13695.0,1545,"beautiful decoration.
The room was very clean with lot of space.
In a quite area but still close enough to everything.
The staff was friendly and ready to answer all...",114.12,TripAdvisor
Kanda Residences Pool Villas,21615.0,383,visited many times of the years. Of course the Covid period had been tough as for everyone but Kanda keeps going. The pool villas are still the largest and most...,180.12,TripAdvisor
Panviman Chiang Mai Spa Resort,7026.0,880,Both trips,58.55,TripAdvisor
Royal Cliff Grand Hotel,11633.0,1338,A big thank you,96.94,TripAdvisor
The Siam Residence Boutique Resort,9648.0,222,"very nice tropical private beach. The bungalows are spacious and very comfortable with an exceptional big bed, 2.60 mrt by 2.00 mrt. .the service is very personal",80.4,TripAdvisor
Pullman Khao Lak Resort,7302.0,297,"We had our breakfast table beautifully decorated with roses, during",60.85,TripAdvisor
Stay Wellbeing & Lifestyle Resort,9329.0,367,Nice decoration and helpful staffs The thing we love are - There are 3 beautiful and clean pools - Large and,77.74,TripAdvisor
Lub d Koh Samui Chaweng Beach,4786.0,349,Well To start from check in : super nice staff will wait with big smile Recommend,39.88,TripAdvisor
"Mandarin Oriental, Bangkok",190039.0,5526,"From check-in to check-out, with fantastic, convenient rooms, absolutely",1583.66,TripAdvisor
Anantara Golden Triangle Elephant Camp & Resort,132371.0,1438,"jungle, the Mekong river and three countries.",1103.09,TripAdvisor
Bangkok Marriott Hotel The Surawongse,43389.0,1574,"Also, many thanks to the Housekeeping Team that decorated",361.58,TripAdvisor
Pimann Buri Pool Villas Ao Nang Krabi,21522.0,270,"to be upgraded when we arrived, amazing pool, got a lift into Ao Nang every evening as it is about 60 minute walk into Ao Nang ( free of charge), breakfast OK.",179.35,TripAdvisor
Ramada Resort by Wyndham Khao Lak,24588.0,2482,"maintained, there is a private beach area which is just outside of the hotel. The Pool area is very clean and was very chilled. 

Outside of the hotel, it is close to lots",204.9,TripAdvisor
Siam Kempinski Hotel Bangkok,51468.0,4058,"... even during the afternoon - Nice staff Always smiling - Excellent location Centrally located, metro and commercial center at 5 minutes by foot - Tasty food Thai",428.9,TripAdvisor
Avista Hideaway Phuket Patong - MGallery Hotel Collection,16805.0,3463,"... boy"", nice room, three nice pools (but need to add little bit more staff to work around",140.04,TripAdvisor
"Casa De Mar, Koh Samui",10618.0,1362,We were also able to upgrade our room for the night to the villa with the pool and sea,88.48,TripAdvisor
"The Athenee Hotel, A Luxury Collection Hotel, Bangkok",27455.0,7084,The hotel was faultless Staff were amazing just could not do enough to help you Lots of different restaurants of excellent,228.79,TripAdvisor
Holiday Inn Resort Phuket,21421.0,4975,"... , huge king room , rainshower and direct access to the private swimming lagoon , as soon as i arrived , i felt i was on holidays",178.51,TripAdvisor
Melati Beach Resort & Spa,15549.0,1901,"Beautiful gardens & ponds, spacious & well kept poolside & private beach area, spotlessly clean & discreet rooms",129.57,TripAdvisor
Hyatt Regency Bangkok Sukhumvit,33406.0,917,"... had assign was on high floor by Khun Ann, Front Office team given to us with an amazing",278.38,TripAdvisor
Waldorf Astoria Bangkok,38194.0,640,We were checked in in a friendly manner and brought up to our King Deluxe,318.28,TripAdvisor
Novotel Phuket Resort,9120.0,4989,staff thank you Ms Nicky halp me on checkout smoothly breakfast very delicious location near beach wonderful view from the room next vacation i wish to stay long ti...,76.0,TripAdvisor
Kimpton Maa-Lai Bangkok,28340.0,512,"This was first time at Kimpton Maa-Lai Bangkok Hotel,We received a wonderful welcome from Khun Grape and then the first impression when we",236.17,TripAdvisor
The Marina Phuket Hotel,5171.0,2934,"rooftop pool was spectacular with amazing views over Patong Bay and the sea, especially stunning at sunset with great cocktail promotions!",43.09,TripAdvisor
U Inchantree Kanchanaburi,8121.0,1665,"Very good hotel good location ,good",67.68,TripAdvisor
The Tarna Align Resort,11593.0,839,view of the sunset and the island.,96.61,TripAdvisor
U Nimman Chiang Mai,9436.0,744,... of department store food and cafe very comfortable to get anything Good service from Staff Comforable Cool design and completed facility Bed and Sofa BF,78.63,TripAdvisor
Bambuh Boutique Homestay,4529.0,191,a great ambience. The owners were really nice and helpt us with al our questions. A great place to relax and have a good night sleep after a mount travelling,37.74,TripAdvisor
Phayamas Private Beach Resort,5275.0,102,,43.96,TripAdvisor
Sareeraya Villas & Suites,15742.0,1148,bathroom.,131.18,TripAdvisor
Anavana Beach Resort,16781.0,1166,"delicious while the atmosphere couldnt be any better.; directly at the beach, beautiful view, Beautiful lightening. Very romantic for Valentines Day.  we will be back",139.84,TripAdvisor
Anana Ecological Resort Krabi,7499.0,510,"Best Hotel To Stay in Krabi! Wonderful Team, Fresh, Gorgeous Food,",62.49,TripAdvisor
"Kantary Bay Hotel, Phuket",5069.0,1912,"I had a great experience with the Kantary Bay Hotel, staff was incredibly responsive and helpful,",42.24,TripAdvisor
Sea Seeker Krabi Resort,7422.0,1038,"Hotel ambiance is very nice , they maintain water quality in swimming",61.85,TripAdvisor
The Yama Hotel Phuket,4812.0,1665,separate large bathroom with rainfall shower and a deep soaking tub with a separate toilet.,40.1,TripAdvisor
Andalay Beach Resort,12422.0,154,"We stayed in the Anda House (not a bungalow),",103.52,TripAdvisor
U Khao Yai,10167.0,571,Beautiful,84.72,TripAdvisor
Annika Koh Chang : By The Griffin,2811.0,805,a shuttle bus to take you to a private beach every day though we used it only once..  Its a lovely green hotel with well maintained gardens and a really nice pool...,23.42,TripAdvisor
BYD Lofts Boutique Hotel & Serviced Apartments,14609.0,2605,"sanitized  the staff gone above and beyond to made me feel comfortable and safe.. so this was a big plus Despite all the challenges , the hotel managed to keep th...",121.74,TripAdvisor
The Chiang Mai Riverside,19948.0,343,"What can we say about our stay in this establishment ... absolutely everything was perfect, from the airport transfer to the hotel, the staff absolutely charming,",166.23,TripAdvisor
Alanta Villa,27871.0,194,"much outdoor space. The pool was perfect. Loved the outdoor shower and toilet. Rooms were comfortable and very clean.
The staff were fantastic, they went above and...",232.26,TripAdvisor
Royal Muang Samui Villas,29846.0,1180,with a sizable bathroom.,248.72,TripAdvisor
Six Senses Samui,59818.0,1154,The villa,498.48,TripAdvisor
Na Nirand Romantic Boutique Resort,65139.0,1142,"We were wowed from the start - from the amazing food, welcoming staff, beautiful",542.83,TripAdvisor
JW Marriott Hotel Bangkok,83966.0,4904,"... one of the best 5 stars hotel in Thailand The first and the most Delight Welcome from Night manager, khun Simon, he friendly",699.72,TripAdvisor
Grand Mercure Phuket Patong,14347.0,3067,It was,119.56,TripAdvisor
"Tango Luxe Beach Villa , Koh Samui",19662.0,542,Im in love with this place ! The palms! The food! The drinks! The company! The staff! Omg! So perfect! Thank you so much for your hospitality! Im coming back!,163.85,TripAdvisor
Grand Hyatt Erawan Bangkok,22867.0,5847,"... location close to one of the most impressive shopping centers I'd ever seen with a huge Apple store, courteous, cheerful and helpful staff, impeccable attention",190.56,TripAdvisor
Hilton Sukhumvit Bangkok,15102.0,3229,-Ample parking space available -Staffs are poise and very helpful provided us with great service,125.85,TripAdvisor
"InterContinental Hua Hin Resort, an IHG Hotel",21562.0,2646,"It was great staying in this gorgeous hotel...very impressed with the service, the staff are very accommodating making sure everything is provided",179.68,TripAdvisor
Hilton Pattaya,31920.0,3372,One of the Best Pattaya hotel!!,266.0,TripAdvisor
Baan Samui Resort,6385.0,1548,"Great service all around, pool was beaut and right beside the sea so you have the option of both, reasonably priced",53.21,TripAdvisor
Movenpick Myth Hotel Patong Phuket,14938.0,391,It has also helped greatly,124.48,TripAdvisor
Hard Rock Hotel Pattaya,17700.0,3854,"Great location, friendly service and staff, delicious breakfast buffet that changed a little",147.5,TripAdvisor
Lanta Pearl Beach Resort,2705.0,636,terrace and hammock.,22.54,TripAdvisor
Radisson Blu Plaza Bangkok,12752.0,3105,Excellent staff at front desk Super facilities all round Good location in centre of Bangkok to start your sightseeing from,106.27,TripAdvisor
"Hotel Indigo Phuket Patong, an IHG Hotel",12035.0,633,I love,100.29,TripAdvisor
Movenpick Hotel Sukhumvit 15 Bangkok,9599.0,2925,Amazing staying in,79.99,TripAdvisor
Shiva Samui,17241.0,805,"villas in March 2020 and had the most amazing week. The setting is so peaceful, the team that takes care of you are wonderful, the food was delicious, accommodation",143.68,TripAdvisor
Navatara Phuket Resort,4002.0,808,"Great location, cute pool, smiling staff,",33.35,TripAdvisor
"Katiliya Mountain Resort & Spa, Chiang Rai",10721.0,377,We were taken to our suite on a golf cart where we were helped,89.34,TripAdvisor
Royal Cliff Beach Terrace,11084.0,422,Beach hotel building.,92.37,TripAdvisor
Pai Tan Villas,7757.0,235,"absolutely clean, and a great breakfast.",64.64,TripAdvisor
Khaosok Boutique Camps,6803.0,734,"impossible to find how turn off bathroom lights, so all rooms  have turn on the bathroom light all night long .
    Wifi ok . Staff very nice and friendly.
I enjoy...",56.69,TripAdvisor
Summer Luxury Beach Resort & Spa,10361.0,331,"we had a magnificent time. This place is so cool, very relaxed and the staff is so nice and helpful. The rooms are very large and well decorated. The restaurant is...",86.34,TripAdvisor
"Holiday Inn Pattaya, an IHG Hotel",13445.0,2076,A short family vacation made sweeter by the accommodating,112.04,TripAdvisor
Royal Cliff Beach Hotel,12375.0,1759,beautiful place with varied offerings from across the sub-continent (though they do seem to merge into each other in the kitchen).,103.12,TripAdvisor
Seabed Grand Hotel Phuket,3986.0,82,"we had good time during stay ,staff extremly friendly Sia ,Tong was the best would love to",33.22,TripAdvisor
Paradise Island Estate,5142.0,210,"Alll of us have had a remarkable experience. Private chef un villa diner was first class. Villa was luxurious and top notch, quiet and within easy reach of all...",42.85,TripAdvisor
Lotus Samui,45836.0,265,"didnt want to leave. 

We were 3 couples in this stunning 5 bedroom beach front villa.

The views were breathtaking, service outstanding, and our favourite question...",381.97,TripAdvisor
Avani+ Riverside Bangkok Hotel,69562.0,4516,"From the awesome Chao Phraya river view, memorable free shuttle boat rides, pleasant & attentive staff (10/10),",579.68,TripAdvisor
"Vana Belle, a Luxury Collection Resort, Koh Samui",60778.0,1892,Excellent service Exceptional staff Attentive in every way The cooking class was fun and,506.48,TripAdvisor
"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",28650.0,4928,"Also, many thanks to the Butler service team that always provide excellent service for us during our stay, the housekeeper",238.75,TripAdvisor
The Sukhothai Bangkok,20518.0,3950,Amazing service; all staff were extremely caring and attentive,170.98,TripAdvisor
Chatrium Hotel Riverside Bangkok,17004.0,11652,"The best thing of this very modern and well equipped hotel was for sure the stunning view from my room over Chao Phraya river and skyscrapers around, both at night and",141.7,TripAdvisor
Amari Hua Hin,28214.0,2398,Everything is very good for me : location,235.12,TripAdvisor
Beluga Boutique Hotel,7548.0,422,"manager and nine and wynn deserve special mention 
The location is relaxed and quiet at the end of lamai beach but with easy access to beach bars and massage...",62.9,TripAdvisor
Nora Buri Resort & Spa,13713.0,1892,We stayed in a hillside villa with a private pool that was nothing short of magical -- beautiful views,114.28,TripAdvisor
Dusit Thani Hua Hin,21200.0,3275,"Recently renovated early this year, well",176.67,TripAdvisor
Prana Resort Nandana,10032.0,1177,"We thoroughly enjoyed our stay at Prana, the hotel is beautiful,",83.6,TripAdvisor
Maitria Mode Sukhumvit 15 Bangkok - A Chatrium Collection,8501.0,2439,lovely food in the restaurant.,70.84,TripAdvisor
Grand Mercure Bangkok Asoke Residence,12477.0,809,"equipped kitchen for Thailand, a living room with dining and sitting room facilities and a nice balcony with city view.",103.98,TripAdvisor
Wyndham Hua Hin Pranburi Resort & Villas,8758.0,2165,"condition , perfect bathroom and outdoor shower , friendly staff , good service , the hotel is very quiet , it was my second time to visit this hotel and will come a...",72.98,TripAdvisor
Courtyard by Marriott Bangkok,15124.0,3871,The staff: Better,126.03,TripAdvisor
Skyview Resort Phuket Patong Beach,8774.0,185,The place is quiet and peaceful with an amazing swimming pool and everything thing was,73.12,TripAdvisor
The Mooring Resort,12601.0,61,The beachfront relaxed,105.01,TripAdvisor
Elixir Resort Koh Yao Yai,6251.0,743,Its was amazing for we choose to countdown here this year and Im really like here its very good to chilling and relaxing and was beautiful weather to swimming and watching,52.09,TripAdvisor
Khaolak Bhandari Resort and Spa,4033.0,1129,"outdoor jacuzzi bath, which we didn't use as it was overlooked by a path at the side.",33.61,TripAdvisor
Pura Vida Pai Resort,3638.0,358,"is the most beautiful and pleasant place.
Venda and the staff were lovely, took care of all our needs and gave a family feeling. We warmly and lovingly recommend",30.32,TripAdvisor
Longtail Beach Resort,4406.0,472,What a wonderful place! You couldn't ask for a better location-right on an utter paradise of a beach and the service (especially the lovely Ona) was fantastic. The...,36.72,TripAdvisor
Zenseana Resort and Spa,6134.0,341,"toothbrushes, bath sponge, sun terrace, huge shaded parking lot, a plate of fresh fruit as a gift on the first day,",51.12,TripAdvisor
Eleven Hotel Bangkok,6970.0,177,Excellent hotel for quarentine staff,58.08,TripAdvisor
Le Patta,6907.0,728,staff at the hotel were lovely and very helpful. Ahead of our trip I contacted them to ask for recommendations on hiring a car and driver for the day. They came,57.56,TripAdvisor
Chatrium Grand Bangkok,24831.0,80,"appointed, with a massive bed, and double bathroom, along with spectacular views over the city.",206.92,TripAdvisor
"Holiday Inn Resort Krabi Ao Nang Beach, an IHG Hotel",6004.0,559,This hotel was a breath of fresh,50.03,TripAdvisor
Pai My Guest Resort,2698.0,203,,22.48,TripAdvisor
Oakwood Hotel and Residence Sriracha,8346.0,535,Oakwood hotel and residence Sriracha good choice to stay,69.55,TripAdvisor
Somerset Pattaya,14390.0,85,"New hotel and very nice ,Good location ,warm welcome for staff , Staff name Ms.USA was very and beautiful",119.92,TripAdvisor
Trisara,408688.0,1123,"We love the pool in the villa so much the size and depth are practical and the view was beautiful,",3405.73,TripAdvisor
The Peninsula Bangkok,56640.0,5695,We booked through American Express platinum and were therefor given,472.0,TripAdvisor
Riva Surya Bangkok,18754.0,2729,- Super Clean - Super Friendly - Great Restaurant - Incredible Location -,156.28,TripAdvisor
Sibaja Palms Sunset Beach Resort,18691.0,376,from the sun terrace.,155.76,TripAdvisor
Mangosteen Ayurveda & Wellness Resort,21787.0,1250,Fresh,181.56,TripAdvisor
Wonderland Healing Center,14650.0,504,,122.08,TripAdvisor
Baan Yin Dee Boutique Resort,14656.0,1324,"Excellent value for money, I loved so much my stay in Baan Yin Dee hotel that I decided to stay 5 more",122.13,TripAdvisor
Four Seasons Hotel Bangkok at Chao Phraya River,122894.0,140,"Four Seasons, beautiful decor and furnishings, comfortable bed, and an impressive and inviting in-room bar [with ice ready] which invited us to partake more than once!",1024.12,TripAdvisor
Sindhorn Kempinski Hotel Bangkok,45897.0,392,Amazing hotel all was,382.48,TripAdvisor
Hyatt Place Bangkok Sukhumvit,10730.0,907,"Excellent location near to BTS station and EmQuartier shopping mall and restaurants, friendly and",89.42,TripAdvisor
Boujis Boutique Resort,8304.0,281,We stayed in a,69.2,TripAdvisor
Impiana Resort Patong Phuket,13465.0,2428,,112.21,TripAdvisor
Palm Coco Mantra,7810.0,406,"were amazing and above and beyond with their helpfulness. We loved the room, it had a fantastic balcony overlooking the sea. There was a beach but we didn't get a...",65.08,TripAdvisor
Centara Grand at Central Plaza Ladprao Bangkok,12553.0,3095,Centara Grand at Central Plaza Lad Prao has 39 years legendary with good,104.61,TripAdvisor
The Chiang Mai Old Town,11153.0,243,"This is a good five stars hotel in chiang mai with a good facility and high standard, staffs are warm welcome and",92.94,TripAdvisor
Le Meridien Bangkok,15689.0,4685,- Excellent Breakfast and staff service was very good - Great Location & near SkyTrain Sala Deang station - Very close to the Night Market - Close to China,130.74,TripAdvisor
Le Meridien Chiang Mai,13671.0,4466,"thank you to Khun Cartoon and khun Sandy for very kind and impressive service make us extend to stay more , and food drink ,lounge ,happy hour and every staff so good...",113.92,TripAdvisor
Art Mai Gallery Hotel,7551.0,697,Answering all our queries via multiple phone calls before our trip by the staff especially,62.92,TripAdvisor
New Star Beach Resort,12398.0,866,"everything was great, the room was incredible, so large to say we only booked a double deluxe was not expecting what we got!! and it was always kept clean. The breakfast",103.32,TripAdvisor
Patong Mansion Hotel,2197.0,1091,away smile swimming on top i come with family Arp 3 night near have 7/11 open 24/hr i pay very cheap price if some one want cheap and a learn can stay At Patong man...,18.31,TripAdvisor
La Petite Salil Sukhumvit 11,4143.0,2844,Early checking in and comfortable,34.52,TripAdvisor
"Holiday Inn Bangkok Sukhumvit, an IHG hotel",10052.0,1851,"excellent CoVid protocols Khun Fusi, Check in staff Khun Toei, Khun Ploy and Khun Chris especially helpful Id recommend this hotel to anybody",83.77,TripAdvisor
"The Westin Grande Sukhumvit, Bangkok",15875.0,3478,"A perfect location, a",132.29,TripAdvisor
"Four Points By Sheraton Bangkok, Sukhumvit 15",9802.0,2340,Excellent,81.68,TripAdvisor
Nak Nakara,4075.0,1429,It's,33.96,TripAdvisor
Lub d Phuket Patong,3056.0,1016,thanks Pop Au Fanny at the bar who is a sunshine every hour of everyday The pool is very nice and the hôtel is close to the beach The mood is really nice there,25.47,TripAdvisor
Sunset Beach Resort,3511.0,2250,,29.26,TripAdvisor
Legacy Suites Hotel Sukhumvit,8009.0,2050,Novotel property in a few months. I've been staying at the Legacy Suites for the past 10 years and ALWAYS had positive experiencs. Nut at Reception is a standout...,66.74,TripAdvisor
Kantary Beach Hotel Villas & Suites Khao Lak,4908.0,1521,lovely villa next to the beach. I would like to recommend this hotel for the best hospitality. Special thanks to Patchara who made our holidays unforgettable!,40.9,TripAdvisor
Shama Lakeview Asoke Bangkok,7712.0,1781,The panoramic room is so amazing with a good,64.27,TripAdvisor
The Erawan Koh Chang,6566.0,219,The staff were,54.72,TripAdvisor
Garrya Tongsai Bay Samui,24990.0,2433,"Wow, perfect perfect hotel, excellent breakfast, all the staff including the hotel manager are kind, pleasant",208.25,TripAdvisor
Movenpick Asara Resort & Spa Hua Hin,25169.0,786,"More importantly, we were so grateful to the hotel team for",209.74,TripAdvisor
